Geography,Q22022,Q32022,Q42022,Q12023,Q22023
Canada,38644920,38929902,39292355,39566248,39858480
Newfoundland and Labrador,523043,525972,528818,531948,533710
Prince Edward Island,168358,170688,172707,173954,176113
Nova Scotia,1007360,1019725,1030953,1037782,1047232
New Brunswick,802862,812061,820786,825474,831618
Quebec,8650692,8695659,8751352,8787554,8831257
Ontario,14996014,15109416,15262660,15386407,15500632
Manitoba,1401967,1409223,1420228,1431792,1444190
Saskatchewan,1188338,1194803,1205119,1214618,1221439
Alberta,4502858,4543111,4601314,4647178,4703772
British Columbia,5273809,5319324,5368266,5399118,5437722
Yukon,43518,43789,43964,44238,44412
Northwest Territories,45698,45605,45602,45493,45668
Nunavut,40403,40526,40586,40692,40715
